,MUN_INE,Val,ANY_
0,8208,2652,2006
1,8209,2800,2006
2,8210,2297,2006
3,8211,15782,2006
4,8212,294,2006
5,8213,2823,2006
6,8214,3253,2006
7,8215,1478,2006
8,8216,34,2006
9,8217,11887,2006
10,8218,3794,2006
11,8219,8801,2006
12,8220,1135,2006
13,8221,5686,2006
14,8222,981,2006
15,8223,1041,2006
16,8029,1867,2006
17,8030,2728,2006
18,8031,1460,2006
19,8032,1656,2006
20,8033,6272,2006
21,8034,478,2006
22,8035,8855,2006
23,8036,97,2006
24,8037,711,2006
25,8106,3426,2006
26,8107,5408,2006
27,8108,2367,2006
28,8109,186,2006
29,8110,8334,2006
30,8111,82,2006
31,8112,7631,2006
32,8113,28122,2006
33,8114,9744,2006
34,8115,1858,2006
35,8116,291,2006
36,8117,1205,2006
37,8118,9041,2006
38,8119,3665,2006
39,8120,2799,2006
40,8121,44380,2006
41,8122,1618,2006
42,8123,9386,2006
43,8124,19523,2006
44,8125,12424,2006
45,8126,3820,2006
46,8127,1281,2006
47,8128,400,2006
48,8129,263,2006
49,8130,75,2006
50,8131,419,2006
51,8132,197,2006
52,8133,117,2006
53,8134,431,2006
54,8181,3548,2006
55,8026,94,2006
56,8027,283,2006
57,8028,971,2006
58,8274,2414,2006
59,8275,141,2006
60,8276,130,2006
61,8277,218,2006
62,8278,2315,2006
63,8279,79024,2006
64,8280,145,2006
65,8281,2177,2006
66,8282,2650,2006
67,8283,2972,2006
68,8284,5849,2006
69,8285,5696,2006
70,8286,1824,2006
71,8287,522,2006
72,8288,1567,2006
73,8289,1910,2006
74,8290,536,2006
75,8291,2719,2006
76,8292,588,2006
77,8293,195,2006
78,8294,1249,2006
79,8295,5742,2006
80,8296,960,2006
81,8297,118,2006
82,8298,15144,2006
83,8299,284,2006
84,8300,2416,2006
85,8301,23366,2006
86,8302,4435,2006
87,8303,238,2006
88,8304,394,2006
89,8305,14050,2006
90,8306,245,2006
91,8307,28611,2006
92,8224,405,2006
93,8225,65,2006
94,8226,459,2006
95,8227,1189,2006
96,8228,200,2006
97,8229,360,2006
98,8230,3656,2006
99,8231,12242,2006
100,8255,75,2006
101,8256,341,2006
102,8257,86,2006
103,8258,493,2006
104,8259,3301,2006
105,8260,8862,2006
106,8261,1896,2006
107,8262,3221,2006
108,8263,10054,2006
109,8264,3265,2006
110,8105,5044,2006
111,8246,741,2006
112,8247,351,2006
113,8248,2852,2006
114,8249,127,2006
115,8250,3498,2006
116,8251,2291,2006
117,8252,11942,2006
118,8253,81,2006
119,8254,1021,2006
120,8135,3094,2006
121,8136,5430,2006
122,8137,179,2006
123,8138,2535,2006
124,8139,222,2006
125,8140,2099,2006
126,8141,2422,2006
127,8142,90,2006
128,8143,1270,2006
129,8144,406,2006
130,8145,1489,2006
131,8146,881,2006
132,8147,8880,2006
133,8148,1470,2006
134,8149,507,2006
135,8150,105,2006
136,8151,267,2006
137,8152,92,2006
138,8153,253,2006
139,8154,305,2006
140,8038,505,2006
141,8060,134,2006
142,8061,683,2006
143,8062,489,2006
144,8063,205,2006
145,8064,1370,2006
146,8065,656,2006
147,8066,678,2006
148,8067,2954,2006
149,8068,3278,2006
150,8232,957,2006
151,8233,903,2006
152,8234,1997,2006
153,8235,3494,2006
154,8236,1003,2006
155,8237,928,2006
156,8238,6248,2006
157,8239,371,2006
158,8240,4498,2006
159,8241,103,2006
160,8242,251,2006
161,8243,65,2006
162,8244,2786,2006
163,8245,44103,2006
164,8104,615,2006
165,8308,80,2006
166,8901,243,2006
167,8902,1771,2006
168,8903,168,2006
169,8904,5388,2006
170,8905,1109,2006
171,8001,4098,2006
172,8002,128,2006
173,8003,3353,2006
174,8004,212,2006
175,8005,2936,2006
176,8006,6953,2006
177,8007,3653,2006
178,8008,144,2006
179,8009,4409,2006
180,8010,1861,2006
181,8011,828,2006
182,8012,802,2006
183,8013,705,2006
184,8014,1095,2006
185,8015,81467,2006
186,8016,1204,2006
187,8017,1363,2006
188,8018,1366,2006
189,8019,639433,2006
190,8020,2286,2006
191,8021,58,2006
192,8022,7069,2006
193,8023,3641,2006
194,8024,312,2006
195,8025,952,2006
196,8265,778,2006
197,8266,21832,2006
198,8267,2918,2006
199,8268,937,2006
200,8269,1505,2006
201,8270,16989,2006
202,8271,56,2006
203,8272,115,2006
204,8273,1341,2006
205,8039,191,2006
206,8040,6426,2006
207,8041,5423,2006
208,8042,1223,2006
209,8043,2294,2006
210,8044,2342,2006
211,8045,50,2006
212,8046,6149,2006
213,8047,2286,2006
214,8048,388,2006
215,8049,726,2006
216,8050,99,2006
217,8051,8607,2006
218,8052,200,2006
219,8053,1652,2006
220,8054,4401,2006
221,8055,361,2006
222,8056,25336,2006
223,8057,50,2006
224,8058,1260,2006
225,8059,288,2006
226,8182,1412,2006
227,8183,2179,2006
228,8184,27224,2006
229,8185,81,2006
230,8187,80427,2006
231,8188,53,2006
232,8189,79,2006
233,8190,266,2006
234,8191,3088,2006
235,8192,2316,2006
236,8193,591,2006
237,8194,12211,2006
238,8195,66,2006
239,8196,9208,2006
240,8197,4651,2006
241,8198,2240,2006
242,8199,309,2006
243,8200,30549,2006
244,8201,290,2006
245,8202,6103,2006
246,8203,1825,2006
247,8204,1322,2006
248,8205,26880,2006
249,8206,341,2006
250,8207,819,2006
251,8073,32312,2006
252,8074,8928,2006
253,8075,2144,2006
254,8076,8763,2006
255,8077,17234,2006
256,8078,107,2006
257,8079,272,2006
258,8080,30,2006
259,8081,214,2006
260,8082,823,2006
261,8083,769,2006
262,8084,572,2006
263,8085,693,2006
264,8086,6007,2006
265,8087,103,2006
266,8088,5746,2006
267,8089,18186,2006
268,8090,100,2006
269,8091,2589,2006
270,8092,1866,2006
271,8093,33,2006
272,8094,726,2006
273,8095,98,2006
274,8096,22742,2006
275,8097,568,2006
276,8098,1359,2006
277,8099,446,2006
278,8100,654,2006
279,8101,97282,2006
280,8102,14383,2006
281,8155,3328,2006
282,8156,4976,2006
283,8157,3974,2006
284,8158,1461,2006
285,8159,6108,2006
286,8160,234,2006
287,8161,7173,2006
288,8162,1189,2006
289,8163,14542,2006
290,8164,419,2006
291,8165,890,2006
292,8166,749,2006
293,8167,2687,2006
294,8168,406,2006
295,8169,23584,2006
296,8170,239,2006
297,8171,1139,2006
298,8172,11496,2006
299,8174,154,2006
300,8175,2014,2006
301,8176,110,2006
302,8177,14,2006
303,8178,214,2006
304,8179,410,2006
305,8180,13645,2006
306,8069,1603,2006
307,8070,155,2006
308,8071,179,2006
309,8072,5297,2006
310,8103,283,2006
311,8208,2755,2007
312,8209,2870,2007
313,8210,2224,2007
314,8211,15922,2007
315,8212,306,2007
316,8213,3023,2007
317,8214,3365,2007
318,8215,1494,2007
319,8216,34,2007
320,8217,12117,2007
321,8218,3854,2007
322,8219,8826,2007
323,8220,1161,2007
324,8221,5780,2007
325,8222,1004,2007
326,8223,1066,2007
327,8029,1902,2007
328,8030,2845,2007
329,8031,1527,2007
330,8032,1681,2007
331,8033,6168,2007
332,8034,485,2007
333,8035,9039,2007
334,8036,101,2007
335,8037,811,2007
336,8106,3573,2007
337,8107,5517,2007
338,8108,2422,2007
339,8109,191,2007
340,8110,8647,2007
341,8111,88,2007
342,8112,7889,2007
343,8113,29500,2007
344,8114,9850,2007
345,8115,1875,2007
346,8116,292,2007
347,8117,1225,2007
348,8118,9130,2007
349,8119,3712,2007
350,8120,2883,2007
351,8121,45320,2007
352,8122,1641,2007
353,8123,9470,2007
354,8124,19661,2007
355,8125,12460,2007
356,8126,4150,2007
357,8127,1367,2007
358,8128,408,2007
359,8129,274,2007
360,8130,75,2007
361,8131,442,2007
362,8132,198,2007
363,8133,117,2007
364,8134,434,2007
365,8181,3664,2007
366,8026,95,2007
367,8027,308,2007
368,8028,1001,2007
369,8274,2548,2007
370,8275,142,2007
371,8276,142,2007
372,8277,219,2007
373,8278,2371,2007
374,8279,81740,2007
375,8280,162,2007
376,8281,2187,2007
377,8282,2686,2007
378,8283,3075,2007
379,8284,6239,2007
380,8285,5035,2007
381,8286,1871,2007
382,8287,528,2007
383,8288,1596,2007
384,8289,2009,2007
385,8290,619,2007
386,8291,2755,2007
387,8292,590,2007
388,8293,199,2007
389,8294,1288,2007
390,8295,5883,2007
391,8296,981,2007
392,8297,118,2007
393,8298,15939,2007
394,8299,191,2007
395,8300,2509,2007
396,8301,23853,2007
397,8302,4546,2007
398,8303,241,2007
399,8304,404,2007
400,8305,14280,2007
401,8306,253,2007
402,8307,28707,2007
403,8224,428,2007
404,8225,65,2007
405,8226,475,2007
406,8227,1303,2007
407,8228,200,2007
408,8229,363,2007
409,8230,3715,2007
410,8231,12594,2007
411,8255,78,2007
412,8256,335,2007
413,8257,86,2007
414,8258,414,2007
415,8259,3410,2007
416,8260,9084,2007
417,8261,1915,2007
418,8262,3382,2007
419,8263,10220,2007
420,8264,3308,2007
421,8105,5086,2007
422,8246,779,2007
423,8247,380,2007
424,8248,2925,2007
425,8249,127,2007
426,8250,3537,2007
427,8251,2462,2007
428,8252,12846,2007
429,8253,84,2007
430,8254,1039,2007
431,8135,3105,2007
432,8136,5595,2007
433,8137,183,2007
434,8138,2583,2007
435,8139,229,2007
436,8140,2214,2007
437,8141,2508,2007
438,8142,48,2007
439,8143,1330,2007
440,8144,414,2007
441,8145,1563,2007
442,8146,914,2007
443,8147,9112,2007
444,8148,1541,2007
445,8149,531,2007
446,8150,106,2007
447,8151,269,2007
448,8152,59,2007
449,8153,274,2007
450,8154,319,2007
451,8038,564,2007
452,8060,136,2007
453,8061,785,2007
454,8062,508,2007
455,8063,205,2007
456,8064,1378,2007
457,8065,658,2007
458,8066,765,2007
459,8067,3076,2007
460,8068,3443,2007
461,8232,1011,2007
462,8233,917,2007
463,8234,2062,2007
464,8235,3546,2007
465,8236,1020,2007
466,8237,971,2007
467,8238,6588,2007
468,8239,378,2007
469,8240,4653,2007
470,8241,104,2007
471,8242,251,2007
472,8243,66,2007
473,8244,2854,2007
474,8245,44325,2007
475,8104,629,2007
476,8308,80,2007
477,8901,250,2007
478,8902,1838,2007
479,8903,175,2007
480,8904,5388,2007
481,8905,1114,2007
482,8001,4305,2007
483,8002,128,2007
484,8003,3422,2007
485,8004,218,2007
486,8005,2985,2007
487,8006,7117,2007
488,8007,3738,2007
489,8008,145,2007
490,8009,4479,2007
491,8010,1930,2007
492,8011,868,2007
493,8012,851,2007
494,8013,721,2007
495,8014,1096,2007
496,8015,82379,2007
497,8016,1204,2007
498,8017,1428,2007
499,8018,1384,2007
500,8019,645085,2007
501,8020,2396,2007
502,8021,58,2007
503,8022,7330,2007
504,8023,3713,2007
505,8024,243,2007
506,8025,973,2007
507,8265,796,2007
508,8266,21991,2007
509,8267,2965,2007
510,8268,956,2007
511,8269,1587,2007
512,8270,17171,2007
513,8271,56,2007
514,8272,115,2007
515,8273,1367,2007
516,8039,198,2007
517,8040,6561,2007
518,8041,5535,2007
