MUN_PROV,MUN_CODI,MUN_INE,MUN_DIGIT,MUN_NOM,MUN_NOM2,MUN_NOM3,MUN_NOM2_PART,MUN_BAIXA,MUN_DATA_ACT
8.0000000000000000e+00,1.1100000000000000e+02,"08111",,"MALLA","Malla","Malla",,,
8.0000000000000000e+00,1.1200000000000000e+02,"08112",,"MANLLEU","Manlleu","Manlleu",,,
8.0000000000000000e+00,1.1300000000000000e+02,"08113",,"MANRESA","Manresa","Manresa",,,
8.0000000000000000e+00,1.1400000000000000e+02,"08114",,"MARTORELL","Martorell","Martorell",,,
8.0000000000000000e+00,1.1500000000000000e+02,"08115",,"MARTORELLES","Martorelles","Martorelles",,,
8.0000000000000000e+00,1.1600000000000000e+02,"08116",,"MASIES DE RODA, Les","Masies de Roda","Les Masies de Roda","Les",,
8.0000000000000000e+00,1.1700000000000000e+02,"08117",,"MASIES DE VOLTREGA, Les","Masies de Voltregà","Les Masies de Voltregà","Les",,
8.0000000000000000e+00,1.1800000000000000e+02,"08118",,"MASNOU, El","Masnou","El Masnou","El",,
8.0000000000000000e+00,1.1900000000000000e+02,"08119",,"MASQUEFA","Masquefa","Masquefa",,,
8.0000000000000000e+00,1.2000000000000000e+02,"08120",,"MATADEPERA","Matadepera","Matadepera",,,
8.0000000000000000e+00,1.2100000000000000e+02,"08121",,"MATARO","Mataró","Mataró",,,
8.0000000000000000e+00,1.2200000000000000e+02,"08122",,"MEDIONA","Mediona","Mediona",,,
8.0000000000000000e+00,1.2300000000000000e+02,"08123",,"MOLINS DE REI","Molins de Rei","Molins de Rei",,,
8.0000000000000000e+00,1.2400000000000000e+02,"08124",,"MOLLET DEL VALLES","Mollet del Vallès","Mollet del Vallès",,,
8.0000000000000000e+00,1.2500000000000000e+02,"08125",,"MONTCADA I REIXAC","Montcada i Reixac","Montcada i Reixac",,,
8.0000000000000000e+00,1.2600000000000000e+02,"08126",,"MONTGAT","Montgat","Montgat",,,
8.0000000000000000e+00,1.2700000000000000e+02,"08127",,"MONISTROL DE MONTSERRAT","Monistrol de Montserrat","Monistrol de Montserrat",,,
8.0000000000000000e+00,1.2800000000000000e+02,"08128",,"MONISTROL DE CALDERS","Monistrol de Calders","Monistrol de Calders",,,
8.0000000000000000e+00,1.2900000000000000e+02,"08129",,"MUNTANYOLA","Muntanyola","Muntanyola",,,
8.0000000000000000e+00,1.3000000000000000e+02,"08130",,"MONTCLAR","Montclar","Montclar",,,
8.0000000000000000e+00,1.3100000000000000e+02,"08131",,"MONTESQUIU","Montesquiu","Montesquiu",,,
8.0000000000000000e+00,1.3200000000000000e+02,"08132",,"MONTMAJOR","Montmajor","Montmajor",,,
8.0000000000000000e+00,1.3300000000000000e+02,"08133",,"MONTMANEU","Montmaneu","Montmaneu",,,
8.0000000000000000e+00,1.3400000000000000e+02,"08134",,"FIGARO-MONTMANY","Figaró-Montmany","Figaró-Montmany",,,
8.0000000000000000e+00,1.3500000000000000e+02,"08135",,"MONTMELO","Montmeló","Montmeló",,,
8.0000000000000000e+00,1.3600000000000000e+02,"08136",,"MONTORNES DEL VALLES","Montornès del Vallès","Montornès del Vallès",,,
8.0000000000000000e+00,1.3700000000000000e+02,"08137",,"MONTSENY","Montseny","Montseny",,,
8.0000000000000000e+00,1.3800000000000000e+02,"08138",,"MOIA","Moià","Moià",,,
8.0000000000000000e+00,1.3900000000000000e+02,"08139",,"MURA","Mura","Mura",,,
8.0000000000000000e+00,1.4000000000000000e+02,"08140",,"NAVARCLES","Navarcles","Navarcles",,,
8.0000000000000000e+00,1.4100000000000000e+02,"08141",,"NAVAS","Navàs","Navàs",,,
8.0000000000000000e+00,1.4200000000000000e+02,"08142",,"NOU DE BERGUEDA, La","Nou de Berguedà","La Nou de Berguedà","La",,
8.0000000000000000e+00,1.4300000000000000e+02,"08143",,"ODENA","Òdena","Òdena",,,
8.0000000000000000e+00,1.4400000000000000e+02,"08144",,"OLVAN","Olvan","Olvan",,,
8.0000000000000000e+00,1.4500000000000000e+02,"08145",,"OLERDOLA","Olèrdola","Olèrdola",,,
8.0000000000000000e+00,1.4600000000000000e+02,"08146",,"OLESA DE BONESVALLS","Olesa de Bonesvalls","Olesa de Bonesvalls",,,
8.0000000000000000e+00,1.4700000000000000e+02,"08147",,"OLESA DE MONTSERRAT","Olesa de Montserrat","Olesa de Montserrat",,,
8.0000000000000000e+00,1.4800000000000000e+02,"08148",,"OLIVELLA","Olivella","Olivella",,,
8.0000000000000000e+00,1.4900000000000000e+02,"08149",,"OLOST","Olost","Olost",,,
8.0000000000000000e+00,1.5000000000000000e+02,"08150",,"ORIS","Orís","Orís",,,
8.0000000000000000e+00,1.5100000000000000e+02,"08151",,"ORISTA","Oristà","Oristà",,,
8.0000000000000000e+00,1.5200000000000000e+02,"08152",,"ORPI","Orpí","Orpí",,,
8.0000000000000000e+00,1.5300000000000000e+02,"08153",,"ORRIUS","Òrrius","Òrrius",,,
8.0000000000000000e+00,1.5400000000000000e+02,"08154",,"PACS DEL PENEDES","Pacs del Penedès","Pacs del Penedès",,,
8.0000000000000000e+00,1.5500000000000000e+02,"08155",,"PALAFOLLS","Palafolls","Palafolls",,,
8.0000000000000000e+00,1.5600000000000000e+02,"08156",,"PALAU-SOLITA I PLEGAMANS","Palau-solità i Plegamans","Palau-solità i Plegamans",,,
8.0000000000000000e+00,1.5700000000000000e+02,"08157",,"PALLEJA","Pallejà","Pallejà",,,
8.0000000000000000e+00,1.5800000000000000e+02,"08158",,"PAPIOL, El","Papiol","El Papiol","El",,
