,MUN_INE,Val,ANY_
0,8,28.2584339281,2020
1,8001,31.997187060500003,2020
2,8002,60.0,2020
3,8003,28.5146942017,2020
4,8004,25.0,2020
5,8005,38.493038493,2020
6,8006,28.0982508374,2020
7,8007,31.9402985075,2020
8,8008,55.0,2020
9,8009,27.9220779221,2020
10,8010,33.7442218798,2020
11,8011,32.6797385621,2020
12,8012,31.2757201646,2020
13,8013,38.3333333333,2020
14,8014,28.5340314136,2020
15,8015,27.9120788145,2020
16,8016,36.9085173502,2020
17,8017,29.7362110312,2020
18,8018,40.2135231317,2020
19,8019,27.4473532381,2020
20,8020,44.067796610200006,2020
21,8021,50.0,2020
22,8022,35.0520833333,2020
23,8023,58.3395107487,2020
24,8024,32.6086956522,2020
25,8025,46.1756373938,2020
26,8026,18.1818181818,2020
27,8027,25.5813953488,2020
28,8028,62.9921259843,2020
29,8029,25.2600297177,2020
30,8030,27.1255060729,2020
31,8031,25.2403846154,2020
32,8032,38.1601362862,2020
33,8033,33.0230496454,2020
34,8034,43.9655172414,2020
35,8035,27.495908346999997,2020
36,8036,66.6666666667,2020
37,8037,29.2792792793,2020
38,8038,26.771653543299998,2020
39,8039,20.3703703704,2020
40,8040,31.034482758600003,2020
41,8041,31.4870559904,2020
42,8042,58.7570621469,2020
43,8043,52.01612903229999,2020
44,8044,36.627906976700004,2020
45,8045,75.0,2020
46,8046,22.7390180879,2020
47,8047,35.7798165138,2020
48,8048,52.1126760563,2020
49,8049,46.8253968254,2020
50,8050,13.333333333299999,2020
51,8051,26.183282980900003,2020
52,8052,41.935483871,2020
53,8053,47.991967871499995,2020
54,8054,27.560646900300004,2020
55,8055,49.5412844037,2020
56,8056,32.354679803,2020
57,8057,0.0,2020
58,8058,41.1949685535,2020
59,8059,40.0,2020
60,8060,18.75,2020
61,8061,39.4136807818,2020
62,8062,44.1860465116,2020
63,8063,22.8571428571,2020
64,8064,36.3196125908,2020
65,8065,30.0,2020
66,8066,41.563786008200005,2020
67,8067,32.0603015075,2020
68,8068,28.988149498600002,2020
69,8069,42.03187251,2020
70,8070,26.6666666667,2020
71,8071,19.0476190476,2020
72,8072,41.764377442800004,2020
73,8073,29.2463996844,2020
74,8074,27.6515151515,2020
75,8075,53.003533568900004,2020
76,8076,32.010851136,2020
77,8077,24.5000869414,2020
78,8078,50.0,2020
79,8079,47.61904761899999,2020
80,8080,100.0,2020
81,8081,47.2222222222,2020
82,8082,47.6439790576,2020
83,8083,26.5536723164,2020
84,8084,49.5652173913,2020
85,8085,46.25,2020
86,8086,24.056999161799997,2020
87,8087,25.0,2020
88,8088,23.1384097602,2020
89,8089,25.045825695700003,2020
90,8090,50.0,2020
91,8091,43.961352657,2020
92,8092,31.2958435208,2020
93,8093,100.0,2020
94,8094,26.0465116279,2020
95,8095,50.0,2020
96,8096,24.1804180418,2020
97,8097,36.5591397849,2020
98,8098,54.6827794562,2020
99,8099,44.827586206899994,2020
100,8100,23.3870967742,2020
101,8101,30.9811671704,2020
102,8102,27.2402713317,2020
103,8103,38.961038961,2020
104,8104,52.808988764,2020
105,8105,26.0285474391,2020
106,8106,30.346051464099997,2020
107,8107,50.5494505495,2020
108,8108,37.76,2020
109,8109,35.2941176471,2020
110,8110,23.7117117117,2020
111,8111,50.0,2020
112,8112,32.5832161275,2020
113,8113,25.2595460144,2020
114,8114,24.335314357199998,2020
115,8115,35.7142857143,2020
116,8116,74.07407407409998,2020
117,8117,34.8258706468,2020
118,8118,29.6042844392,2020
119,8119,42.5332290852,2020
120,8120,33.9285714286,2020
