,MUN_INE,Val,ANY_
285,8288,,2019
286,8289,,2019
287,8290,0.0,2019
288,8291,,2019
289,8292,0.0,2019
290,8293,0.0,2019
291,8294,0.0,2019
292,8295,,2019
293,8296,,2019
294,8297,0.0,2019
295,8298,20.8695652174,2019
296,8299,0.0,2019
297,8300,,2019
298,8301,29.0,2019
299,8302,,2019
300,8303,0.0,2019
301,8304,0.0,2019
302,8305,25.625,2019
303,8306,0.0,2019
304,8307,14.2857142857,2019
305,8308,0.0,2019
306,8901,0.0,2019
307,8902,0.0,2019
308,8903,0.0,2019
309,8904,,2019
310,8905,0.0,2019
311,8,,2019
