,MUN_INE,ANY_,Val
0,8119,2019,1485.01
1,8120,2019,2539.22
2,8121,2019,2135.72
3,8122,2019,
4,8123,2019,2635.3
5,8124,2019,1872.53
6,8125,2019,1825.64
7,8126,2019,3038.67
8,8127,2019,
9,8128,2019,
10,8129,2019,
11,8130,2019,
12,8131,2019,
13,8132,2019,
14,8133,2019,
15,8134,2019,
16,8181,2019,1924.15
17,8026,2019,
18,8027,2019,
19,8028,2019,
20,8274,2019,997.63
21,8275,2019,
22,8276,2019,
23,8277,2019,
24,8278,2019,1915.58
25,8279,2019,1732.19
26,8280,2019,
27,8281,2019,2699.4
28,8282,2019,2834.37
29,8283,2019,1659.09
30,8284,2019,1172.29
31,8285,2019,1022.1
32,8286,2019,
33,8287,2019,
34,8288,2019,
35,8289,2019,2105.01
36,8290,2019,
37,8291,2019,1786.4
38,8292,2019,
39,8293,2019,
40,8294,2019,
41,8295,2019,1770.59
42,8296,2019,
43,8297,2019,
44,8298,2019,1478.79
45,8299,2019,
46,8300,2019,2153.67
47,8301,2019,2449.86
48,8302,2019,959.62
49,8303,2019,
50,8304,2019,
51,8305,2019,1521.78
52,8306,2019,
53,8307,2019,2106.35
54,8224,2019,
55,8225,2019,
56,8226,2019,
57,8227,2019,
58,8228,2019,
59,8229,2019,
60,8230,2019,2756.75
61,8231,2019,2230.33
62,8255,2019,
63,8256,2019,
64,8257,2019,
65,8258,2019,
66,8259,2019,1304.46
67,8260,2019,1840.64
68,8261,2019,
69,8262,2019,1294.86
70,8263,2019,1948.28
71,8264,2019,2474.16
72,8105,2019,1755.83
73,8246,2019,
74,8247,2019,
75,8248,2019,1525.96
76,8249,2019,
77,8250,2019,815.7799999999999
78,8251,2019,1086.36
79,8252,2019,2041.91
80,8253,2019,
81,8254,2019,
82,8135,2019,1805.97
83,8136,2019,1802.42
84,8137,2019,
85,8138,2019,1595.83
86,8139,2019,
87,8140,2019,1478.08
88,8141,2019,864.52
89,8142,2019,
90,8143,2019,
91,8144,2019,
92,8145,2019,
93,8146,2019,
94,8147,2019,1666.55
95,8148,2019,
96,8149,2019,
97,8150,2019,
98,8151,2019,
99,8152,2019,
100,8153,2019,
101,8154,2019,
102,8038,2019,
103,8060,2019,
104,8061,2019,
105,8062,2019,
106,8063,2019,
107,8064,2019,
108,8065,2019,
109,8066,2019,
110,8067,2019,1523.37
111,8068,2019,1686.78
112,8232,2019,
113,8233,2019,
114,8234,2019,
115,8235,2019,2521.83
116,8236,2019,
117,8237,2019,
118,8238,2019,2723.21
119,8239,2019,
120,8240,2019,1654.53
121,8241,2019,
122,8242,2019,
123,8243,2019,
124,8244,2019,2356.76
125,8245,2019,2012.51
126,8104,2019,
127,8308,2019,
128,8901,2019,
129,8902,2019,1804.93
130,8903,2019,
131,8904,2019,1409.7
132,8905,2019,
133,8001,2019,1808.34
134,8002,2019,
135,8003,2019,2894.53
136,8004,2019,
137,8005,2019,1399.53
138,8006,2019,2165.41
139,8007,2019,1944.55
140,8008,2019,
141,8009,2019,1913.09
142,8010,2019,1356.23
143,8011,2019,
144,8012,2019,
145,8013,2019,
146,8014,2019,
147,8015,2019,2236.59
148,8016,2019,
149,8017,2019,
150,8018,2019,
151,8019,2019,4058.0
152,8020,2019,2050.32
153,8021,2019,
154,8022,2019,1040.53
155,8023,2019,1269.43
156,8024,2019,
157,8025,2019,
158,8265,2019,
159,8266,2019,2669.57
160,8267,2019,1598.95
161,8268,2019,
162,8269,2019,
163,8270,2019,4496.71
164,8271,2019,
165,8272,2019,
166,8273,2019,
167,8039,2019,
168,8040,2019,1986.52
169,8041,2019,1310.92
170,8042,2019,
171,8043,2019,
172,8044,2019,985.11
173,8045,2019,
174,8046,2019,2022.9
175,8047,2019,
176,8048,2019,
177,8049,2019,
178,8050,2019,
179,8051,2019,1864.0
180,8052,2019,
181,8053,2019,
182,8054,2019,2068.47
183,8055,2019,
184,8056,2019,3479.81
185,8057,2019,
186,8058,2019,
187,8059,2019,
188,8182,2019,
189,8183,2019,909.55
190,8184,2019,1895.33
191,8185,2019,
192,8187,2019,2043.62
193,8188,2019,
194,8189,2019,
195,8190,2019,
196,8191,2019,790.46
197,8192,2019,1524.62
198,8193,2019,
199,8194,2019,2636.19
200,8195,2019,
201,8196,2019,2035.68
202,8197,2019,2583.75
203,8198,2019,1543.53
204,8199,2019,
205,8200,2019,2338.43
206,8201,2019,
207,8202,2019,1344.59
208,8203,2019,
209,8204,2019,
210,8205,2019,3628.57
211,8206,2019,
212,8207,2019,
213,8073,2019,2772.11
214,8074,2019,1905.47
215,8075,2019,1536.61
216,8076,2019,1594.5
217,8077,2019,2868.57
218,8078,2019,
219,8079,2019,
220,8080,2019,
221,8081,2019,
222,8082,2019,
223,8083,2019,
224,8084,2019,
225,8085,2019,
226,8086,2019,2143.16
227,8087,2019,
228,8088,2019,1898.85
229,8089,2019,2970.07
230,8090,2019,
231,8091,2019,1375.94
232,8092,2019,
233,8093,2019,
234,8094,2019,
235,8095,2019,
236,8096,2019,1901.07
237,8097,2019,
238,8098,2019,
239,8099,2019,
240,8100,2019,
241,8101,2019,2424.2
242,8102,2019,1140.9
243,8155,2019,1402.97
244,8156,2019,2036.05
245,8157,2019,2189.5
246,8158,2019,
247,8159,2019,2170.18
248,8160,2019,
249,8161,2019,1181.82
250,8162,2019,
251,8163,2019,1672.49
252,8164,2019,
253,8165,2019,
254,8166,2019,
255,8167,2019,1898.6
256,8168,2019,
257,8169,2019,2495.52
258,8170,2019,
259,8171,2019,
260,8172,2019,2882.61
261,8174,2019,
262,8175,2019,
263,8176,2019,
264,8177,2019,
265,8178,2019,
266,8179,2019,
267,8180,2019,2484.52
268,8069,2019,
269,8070,2019,
270,8071,2019,
271,8072,2019,1693.17
272,8103,2019,
273,8208,2013,1345.35
274,8209,2013,1354.78
275,8210,2013,0.0
276,8211,2013,2062.98
277,8212,2013,
278,8213,2013,1020.06
279,8214,2013,1521.03
280,8215,2013,
281,8216,2013,
282,8217,2013,2303.64
283,8218,2013,1353.16
284,8219,2013,2229.72
285,8220,2013,
286,8221,2013,2578.11
287,8222,2013,
288,8223,2013,
289,8029,2013,
290,8030,2013,1744.91
291,8031,2013,
292,8032,2013,
293,8033,2013,430.94
294,8034,2013,
295,8035,2013,1485.68
296,8036,2013,
297,8037,2013,
298,8106,2013,1680.38
299,8107,2013,881.27
300,8108,2013,0.0
301,8109,2013,
302,8110,2013,1246.58
303,8111,2013,
304,8112,2013,763.72
305,8113,2013,1250.39
306,8114,2013,1123.25
307,8115,2013,
308,8116,2013,
309,8117,2013,
310,8118,2013,2218.31
311,8119,2013,1137.14
312,8120,2013,1744.37
313,8121,2013,1377.21
314,8122,2013,
315,8123,2013,1779.16
316,8124,2013,1384.29
317,8125,2013,1379.71
318,8126,2013,1637.99
319,8127,2013,
320,8128,2013,
321,8129,2013,
322,8130,2013,
323,8131,2013,
324,8132,2013,
325,8133,2013,
326,8134,2013,
327,8181,2013,1324.85
328,8026,2013,
329,8027,2013,
330,8028,2013,
331,8274,2013,595.12
332,8275,2013,
333,8276,2013,
334,8277,2013,
335,8278,2013,0.0
336,8279,2013,1116.25
337,8280,2013,
338,8281,2013,1628.58
339,8282,2013,2283.24
340,8283,2013,0.0
341,8284,2013,945.41
342,8285,2013,828.59
343,8286,2013,
344,8287,2013,
345,8288,2013,
346,8289,2013,1224.64
347,8290,2013,
348,8291,2013,1295.17
349,8292,2013,
350,8293,2013,
351,8294,2013,
352,8295,2013,1222.33
353,8296,2013,
354,8297,2013,
355,8298,2013,916.33
356,8299,2013,
357,8300,2013,1356.36
358,8301,2013,1812.82
359,8302,2013,1291.1
360,8303,2013,
361,8304,2013,
362,8305,2013,1170.9
363,8306,2013,
364,8307,2013,1652.84
365,8224,2013,
366,8225,2013,
367,8226,2013,
368,8227,2013,
369,8228,2013,
370,8229,2013,
371,8230,2013,1516.79
372,8231,2013,2037.17
373,8255,2013,
374,8256,2013,
375,8257,2013,
376,8258,2013,
377,8259,2013,1154.54
378,8260,2013,1469.58
379,8261,2013,
380,8262,2013,1020.24
381,8263,2013,1536.44
382,8264,2013,1694.25
383,8105,2013,1176.39
384,8246,2013,
385,8247,2013,
386,8248,2013,0.0
387,8249,2013,
388,8250,2013,841.09
389,8251,2013,722.2999999999998
390,8252,2013,1239.43
391,8253,2013,
392,8254,2013,
393,8135,2013,0.0
394,8136,2013,1429.04
395,8137,2013,
396,8138,2013,1376.89
397,8139,2013,
398,8140,2013,1340.09
399,8141,2013,752.38
400,8142,2013,
401,8143,2013,
402,8144,2013,
403,8145,2013,
404,8146,2013,
405,8147,2013,1338.42
406,8148,2013,
407,8149,2013,
408,8150,2013,
409,8151,2013,
410,8152,2013,
411,8153,2013,
412,8154,2013,
413,8038,2013,
414,8060,2013,
415,8061,2013,
416,8062,2013,
417,8063,2013,
418,8064,2013,
419,8065,2013,
420,8066,2013,
421,8067,2013,0.0
422,8068,2013,1414.25
423,8232,2013,
424,8233,2013,
425,8234,2013,
426,8235,2013,
427,8236,2013,
428,8237,2013,
429,8238,2013,2280.88
430,8239,2013,
431,8240,2013,144.0
432,8241,2013,1432.8
433,8242,2013,
434,8243,2013,
435,8244,2013,1608.57
436,8245,2013,1665.2
437,8104,2013,
438,8308,2013,
439,8901,2013,
440,8902,2013,0.0
441,8903,2013,
442,8904,2013,0.0
443,8905,2013,
444,8001,2013,1383.38
445,8002,2013,
446,8003,2013,2000.08
447,8004,2013,
448,8005,2013,1370.51
449,8006,2013,1601.84
450,8007,2013,1365.63
451,8008,2013,
452,8009,2013,1270.59
453,8010,2013,1431.45
454,8011,2013,
455,8012,2013,
456,8013,2013,
457,8014,2013,
458,8015,2013,1725.55
459,8016,2013,
460,8017,2013,
461,8018,2013,
462,8019,2013,2627.54
463,8020,2013,1795.76
464,8021,2013,
