word;freq
publicpositionampprivate;17
wikileaks;17
operation;17
top;17
put;17
immoral;17
important;17
killers;17
invest;17
profitable;17
of‚Ä;17
cents;17
maybe;17
knows;17
u‚Ä;17
t‚Ä;17
free;17
jtrancazonacional;17
china;17
bloodstained;17
blood‚Ä;17
investorshangout;17
situati‚Ä;17
dealergovernment;17
violates;17
risk;17
abcnews;17
victims;17
tha‚Ä;17
bonus;16
buildthewall‚Ä;16
yourefired;16
anything;16
wonder;16
approach;16
goldmanfinancesthedict‚Ä;16
dollars;16
ideas;16
exactly;16
hhrr;16
god;16
nothing;16
disgusting;16
huge;16
clear;16
possible;16
face;16
said;16
theyre;16
‚Äù;16
due;16
shamed;16
dinosaur;16
yes;16
work;16
greedy;16
swiss;16
fighting‚Ä;16
threatens;16
assassin;16
crimes;16
just‚Ä;16
discusses;16
sanctioned;16
another;16
notice;16
founds;16
constitution;16
hurts;16
wow;15
repressive;15
regimen;15
honor;15
wish;15
bingham;15
derek;15
you‚Ä;15
suck;15
brand;15
isis;15
madurodictador;15
interesting;15
unbelievable;15
check;15
killings;15
big;15
putting;15
side;15
hungry;15
job;15
bankers;15
principles;15
couldnt;15
moving;15
ilegal;15
governments;15
trying;15
based;15
funded;15
supporter;15
protesting;15
office;15
complicit;15
goldmansachsmurder‚Ä;15
conduct;14
pushing;14
happen;14
murdered;14
sponsored;14
agree;14
dealers;14
highlights;14
terrorists;14
mercenary;14
administration;14
assassinate;14
done;14
gnb;14
bussines;14
approve;14
civilians;14
true;14
lending;14
gov‚Ä;14
diligence;14
bu‚Ä;14
receive;14
media;14
bullet;14
bonuses;14
i‚Ä;14
personal;14
threat;14
fortunately;14
mint;14
slowly;14
weasels;14
attend;14
diamonds;14
impose;14
talk;13
created;13
pdvsas;13
knew;13
gets;13
purposedriven;13
message;13
karma;13
with‚Ä;13
artwork;13
maduropetrolero;13
reputation;13
hezbollah;13
basically;13
rats;13
clearly;13
lose;13
instead;13
mean;13
innocents;13
dirty;13
rubio;13
seems;13
opportunity;13
cares;13
cheap;13
businesses;13
kick;13
cant;13
filthy;13
easy;13
views;13
takes;13
leadership;13
local;13
yeah;13
years;13
died;13
america;13
basing;13
followup;13
dragonboat;13
festival;13
torture;13
authorization;13
tomorrows;13
protester;13
official;12
limits;12
senator;12
guns;12
marbles;12
youve;12
consumer;12
small;12
term;12
political;12
people‚Ä;12
american;12
little;12
farc;12
paying;12
point;12
around;12
partner;12
repression‚Ä;12
th‚Ä;12
unacceptable;12
investigation;12
humans;12
sending;12
